,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
2,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,638.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,671.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,622.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,536.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,572.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,599.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,675.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,625.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,181.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,498.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,633.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,650.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,615.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,568.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,561.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,580.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,606.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,645.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,333.0,0.0,L38102-4_,L38102-4,M,KO,21
