,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
4,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,32.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,41.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,50.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,57.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,53.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,72.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,25.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,32.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,28.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,42.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,46.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,41.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,51.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,59.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,82.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,159.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,19.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,39.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,34.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,21.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,35.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,43.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,37.0,60.0,L49501-1F,L40720_1M,M,KO,21
