,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
9,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,494.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,136.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,499.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,484.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,467.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,395.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,396.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,377.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,469.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,510.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,298.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,53.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,346.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,380.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,401.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,358.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,320.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,305.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,348.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,456.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.tif_rotated,239.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,33.0,0.0,L49501-1F,L40720_1M,M,KO,21
1,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,287.0,10.0,L49501-1F,L40720_1M,M,KO,21
2,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,390.0,20.0,L49501-1F,L40720_1M,M,KO,21
3,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,367.0,30.0,L49501-1F,L40720_1M,M,KO,21
4,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,335.0,40.0,L49501-1F,L40720_1M,M,KO,21
5,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,275.0,50.0,L49501-1F,L40720_1M,M,KO,21
6,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,299.0,60.0,L49501-1F,L40720_1M,M,KO,21
7,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,320.0,70.0,L49501-1F,L40720_1M,M,KO,21
8,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,406.0,80.0,L49501-1F,L40720_1M,M,KO,21
9,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.tif_rotated,232.0,90.0,L49501-1F,L40720_1M,M,KO,21
0,Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.tif_rotated,34.0,0.0,L49501-1F,L40720_1M,M,KO,21
