#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
apjdhdig-1,Cluster 19,0,79.34
mhhhgaab-1,Cluster 10,0,122.83
ogmoggmg-1,Cluster 1,1,52.43
mhhhdoea-1,Cluster 3,0,34.59
mhhaiagf-1,Cluster 2,0,59.25
apjebnhp-1,Cluster 17,0,174.30
mhbhjhnn-1,Cluster 22,0,116.01
apiogpom-1,Cluster 28,8,211.33
apikgjhh-1,Cluster 4,0,157.60
apjejgln-1,Cluster 22,0,268.27
apjfghaa-1,Cluster 10,0,147.98
mhhfefdp-1,Cluster 10,0,142.06
apjjdgfn-1,Cluster 22,0,154.62
apjemidh-1,Cluster 10,1,155.52
mhojpnlg-1,Cluster 2,0,52.25
mhopmjbk-1,Cluster 10,0,129.19
obaofpbj-1,Cluster 28,0,76.90
mhhhdikl-1,Cluster 17,0,130.55
mhbgjhne-1,Cluster 17,1,282.41
apiogjhg-1,Cluster 28,8,215.89
mhoippcn-1,Cluster 17,0,111.99
ogmpnfhb-1,Cluster 1,1,58.39
ognabhoj-1,Cluster 6,3,222.76
apjdkghp-1,Cluster 10,0,168.88
mhhicfoa-1,Cluster 17,0,118.17
mhggljdn-1,Cluster 10,0,111.72
apjhchoo-1,Cluster 10,0,144.50
mhhffmpn-1,Cluster 17,0,116.14
apjfeiod-1,Cluster 3,2,301.60
apjephih-1,Cluster 22,0,207.94
mhakldbf-1,Cluster 28,1,225.24
appcbemm-1,Cluster 17,0,138.40
mhahmejb-1,Cluster 24,0,86.38
mhpjcchd-1,Cluster 8,0,104.94
apgfofnd-1,Cluster 17,2,295.37
obdebnfi-1,Cluster 19,17,183.97
mhbefjci-1,Cluster 28,8,348.92
mhaihklm-1,Cluster 2,0,45.20
apfnljgf-1,Cluster 2,0,52.61
apfmokln-1,Cluster 28,0,245.02
mhofljoi-1,Cluster 6,0,61.55
mhpiiaca-1,Cluster 17,0,67.01
mhafjmom-1,Cluster 2,0,43.30
mhakabhb-1,Cluster 10,1,138.77
mhajcbdg-1,Cluster 22,0,163.51
mhoilinh-1,Cluster 28,0,228.49
mhonfdah-1,Cluster 22,1,263.26
mhonpggm-1,Cluster 17,2,222.76
mhomephi-1,Cluster 17,0,310.04
mhpipeab-1,Cluster 22,0,143.37
mhonakkn-1,Cluster 8,0,137.59
obdaegmj-1,Cluster 10,0,56.72
mhbedghg-1,Cluster 28,1,70.53
apgdlihi-1,Cluster 6,0,57.03
ogncmnid-1,Cluster 1,4,245.20
mhbgjfng-1,Cluster 10,0,142.15
apgfglnf-1,Cluster 22,0,152.40
apgbhokl-1,Cluster 28,5,201.98
apfmgheo-1,Cluster 22,0,177.83
apfoiafj-1,Cluster 2,0,183.70
mhohnbdk-1,Cluster 6,0,19.78
mhokfeoc-1,Cluster 3,0,100.34
mhpbgnjd-1,Cluster 6,0,48.05
mhpaknnc-1,Cluster 4,0,196.93
oanfhpbn-1,Cluster 1,0,12.78
oanfdhgf-1,Cluster 28,1,105.17
mhofocmm-1,Cluster 2,0,24.61
mhoaokpn-1,Cluster 2,0,82.23
mhocikji-1,Cluster 21,0,59.79
mhphbebc-1,Cluster 10,0,134.84
apggcaph-1,Cluster 28,2,181.66
baegjljb-1,Cluster 10,0,224.34
bachghip-1,Cluster 19,0,247.05
mhogiboi-1,Cluster 28,16,167.76
bacgpfml-1,Cluster 10,0,142.38
baeiolkj-1,Cluster 19,0,217.74
apggknmm-1,Cluster 28,0,179.68
mhogigfn-1,Cluster 22,1,201.80
apgfdkch-1,Cluster 14,0,86.47
baeenlie-1,Cluster 28,3,224.16
mhpagfnl-1,Cluster 28,0,175.79
mhocfcnb-1,Cluster 2,0,17.39
mhocgaki-1,Cluster 2,0,32.38
apggdllc-1,Cluster 10,0,154.48
mhphokhn-1,Cluster 10,1,113.39
mhpgkeec-1,Cluster 17,0,143.19
baebfdlh-1,Cluster 28,1,194.08
mhpaahba-1,Cluster 6,0,62.54
mhpcjoke-1,Cluster 17,1,216.93
mhpoffag-1,Cluster 13,9,182.12
mkngppfg-1,Cluster 9,2,104.27
obecipki-1,Cluster 9,1,125.35
obbicahl-1,Cluster 1,0,26.42
mmefkdbl-1,Cluster 1,3,115.83
mmeehhon-1,Cluster 2,1,109.64
mmhnlbpm-1,Cluster 9,0,134.39
mmeiaidf-1,Cluster 21,1,46.78
mmhnhjbe-1,Cluster 8,0,32.24
