#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
ohbpgiom-1,Cluster 2,0,41.27
mgfaiane-1,Cluster 15,0,129.96
bkdkmejm-1,Cluster 10,0,157.19
mgepdopg-1,Cluster 3,0,115.65
bkmdfjog-1,Cluster 10,0,228.08
mhchlomh-1,Cluster 10,0,196.70
mgpdiaac-1,Cluster 10,0,126.93
bkdkbcko-1,Cluster 8,0,31.70
bkncnkkl-1,Cluster 10,0,182.66
obolcgbd-1,Cluster 16,0,31.47
bkmdlpgn-1,Cluster 10,0,241.13
mhaehlnn-1,Cluster 10,0,190.56
obpbkffp-1,Cluster 10,0,48.86
mhdmijdd-1,Cluster 5,0,139.17
bkfdfmgc-1,Cluster 5,0,172.41
mflikmhe-1,Cluster 5,0,175.93
mfllbjjp-1,Cluster 5,0,93.97
mfljjiim-1,Cluster 15,0,147.34
bjklpfci-1,Cluster 5,0,160.71
mfnkpemf-1,Cluster 5,0,120.16
mfljpmbf-1,Cluster 6,0,78.26
mfllkfio-1,Cluster 3,0,59.88
bjknfcld-1,Cluster 5,0,199.41
bjkljnog-1,Cluster 5,0,157.64
mflkkief-1,Cluster 5,0,112.17
bjkkjbik-1,Cluster 5,0,170.01
mflkdobd-1,Cluster 5,0,182.52
bjklhmpg-1,Cluster 1,0,120.88
obnegonl-1,Cluster 5,0,62.18
mfjkcjoj-1,Cluster 14,0,93.20
mfjkbigg-1,Cluster 6,0,68.19
ohbmphio-1,Cluster 2,0,174.39
bjkkiebh-1,Cluster 5,0,189.39
obnbglhi-1,Cluster 32,0,47.19
mflfepjf-1,Cluster 5,0,107.88
mfjjapon-1,Cluster 5,0,116.55
bjklhege-1,Cluster 15,0,142.96
bjkgcfln-1,Cluster 18,0,182.88
mfjlgkbg-1,Cluster 5,0,134.88
mfjlmcck-1,Cluster 5,0,117.27
mfjjmehk-1,Cluster 5,0,134.39
bjkeoeic-1,Cluster 5,0,127.70
obnbmjoo-1,Cluster 3,0,14.27
mfljdabj-1,Cluster 11,0,112.53
bjkkepbf-1,Cluster 5,0,170.51
mflijcii-1,Cluster 32,0,66.83
bjkljegp-1,Cluster 5,0,189.75
ohbkphfg-1,Cluster 8,0,16.57
bjkilkle-1,Cluster 5,0,153.89
mflhopaf-1,Cluster 5,0,138.81
oijcknnb-1,Cluster 32,0,134.29
obncdbli-1,Cluster 5,0,79.79
bjkhliih-1,Cluster 5,0,208.40
bjijdjha-1,Cluster 5,0,196.43
mflhfglh-1,Cluster 5,0,158.27
mfmdhbac-1,Cluster 5,0,132.89
mfldbhmg-1,Cluster 5,0,123.19
mfldakdf-1,Cluster 5,0,29.85
mfmdnojp-1,Cluster 5,0,119.21
bjjnnaej-1,Cluster 5,0,195.98
bjjnbimf-1,Cluster 3,0,133.93
bjkembhb-1,Cluster 5,0,153.26
obnapcci-1,Cluster 5,0,85.53
bjjmonhg-1,Cluster 5,0,144.27
mfldfngc-1,Cluster 5,0,60.64
bjkdcnoh-1,Cluster 5,0,143.06
mfldopbi-1,Cluster 5,0,150.51
bjjlccme-1,Cluster 5,0,176.47
mfknomoh-1,Cluster 2,0,68.73
mfknhbfo-1,Cluster 8,0,83.90
bjifmokd-1,Cluster 5,0,236.30
bjhnljlk-1,Cluster 5,0,173.45
obmppkgo-1,Cluster 5,0,53.69
mfkmgibl-1,Cluster 6,0,75.82
mhdjacnl-1,Cluster 5,0,168.03
bkfepalf-1,Cluster 5,0,137.00
mhdlnjhj-1,Cluster 5,0,33.60
bkeognpp-1,Cluster 5,0,178.41
mhdlmkci-1,Cluster 6,0,92.57
bkfddcif-1,Cluster 5,0,186.27
bkenomlc-1,Cluster 5,0,132.17
bkffefjm-1,Cluster 5,0,153.03
mhdlcfgh-1,Cluster 5,0,119.39
mflndbon-1,Cluster 5,0,121.43
mflagdba-1,Cluster 14,0,68.95
mhdpomkp-1,Cluster 5,0,180.04
mfikgecn-1,Cluster 31,0,42.31
mgpomleb-1,Cluster 5,0,136.96
mflbogfi-1,Cluster 5,0,126.75
bkeppfpj-1,Cluster 5,0,164.87
obpgndkm-1,Cluster 32,0,39.11
mfillgek-1,Cluster 3,0,93.93
mhdkkjhc-1,Cluster 8,0,68.86
obnapejb-1,Cluster 5,0,76.04
mflmfjjj-1,Cluster 5,0,190.56
mhdnhhfc-1,Cluster 15,0,90.67
mfilmfaf-1,Cluster 14,0,63.67
bkenancj-1,Cluster 5,0,155.16
obnclmbk-1,Cluster 15,0,111.63
bkffdjle-1,Cluster 5,0,176.29
bkfajcai-1,Cluster 5,0,172.05
mfikkjek-1,Cluster 5,0,137.37
mfilielo-1,Cluster 5,0,93.07
mfilkcjf-1,Cluster 19,0,58.79
bkepfdec-1,Cluster 5,0,158.41
mflaoile-1,Cluster 5,0,158.32
mfllpkfi-1,Cluster 5,0,99.84
mflcjiec-1,Cluster 5,0,117.99
bkencmjl-1,Cluster 5,0,154.12
bkejpjcm-1,Cluster 5,0,156.56
bkfccmlm-1,Cluster 5,0,141.34
bkeoadii-1,Cluster 5,0,175.12
ohbklild-1,Cluster 14,0,27.46
bkfeegnm-1,Cluster 5,0,120.84
mflbidng-1,Cluster 8,0,20.41
mflcbadf-1,Cluster 5,0,103.59
mhdjllnc-1,Cluster 5,0,137.59
mflllhgm-1,Cluster 3,0,29.71
mhdkgepe-1,Cluster 5,0,77.85
mhdongip-1,Cluster 5,0,106.98
bkfblomj-1,Cluster 5,0,156.60
bkfffeml-1,Cluster 5,0,150.33
bkfckcka-1,Cluster 5,0,121.79
mfijclii-1,Cluster 3,0,13.55
mflllmpj-1,Cluster 5,0,95.46
