names,scores,logfoldchanges,pvals,pvals_adj
Dpep2nb,0.051929355,20.450731,0.9585849828225912,1.0
Gm36255,0.051929355,20.333096,0.9585849828225912,1.0
Vmn1r75,0.051929355,20.368029,0.9585849828225912,1.0
AU022793,0.051929355,20.543503,0.9585849828225912,1.0
Vmn2r13,0.051929355,20.523779,0.9585849828225912,1.0
Vmn2r11,0.051929355,20.819359,0.9585849828225912,1.0
Gm10655,0.051929355,20.381754,0.9585849828225912,1.0
Gm38143,0.051929355,21.341818,0.9585849828225912,1.0
Gm17189,0.051929355,20.012064,0.9585849828225912,1.0
Gm10688,0.051929355,20.713428,0.9585849828225912,1.0
Chrna3,0.051929355,20.63209,0.9585849828225912,1.0
1110028F11Rik,0.051929355,20.84376,0.9585849828225912,1.0
Gm29638,0.051929355,20.600782,0.9585849828225912,1.0
Gm8978,0.051929355,20.646067,0.9585849828225912,1.0
Vmn1r79,0.051929355,20.900778,0.9585849828225912,1.0
Olfr1428,0.051929355,20.819359,0.9585849828225912,1.0
Uox,0.051929355,20.45821,0.9585849828225912,1.0
Olfr305,0.051929355,20.58995,0.9585849828225912,1.0
Vmn1r83,0.051929355,20.450281,0.9585849828225912,1.0
Gm43118,0.051929355,20.418016,0.9585849828225912,1.0
Vsx1,0.051929355,20.43972,0.9585849828225912,1.0
2210409D07Rik,0.051929355,20.377302,0.9585849828225912,1.0
Bglap,0.051929355,20.356129,0.9585849828225912,1.0
Gm15201,0.051929355,20.533718,0.9585849828225912,1.0
Gm15684,0.051929355,20.698801,0.9585849828225912,1.0
Gal3st2c,0.051929355,20.6785,0.9585849828225912,1.0
Gm41349,0.051929355,20.24189,0.9585849828225912,1.0
Eppk1,0.051929355,20.38388,0.9585849828225912,1.0
Gm48772,0.051929355,20.563343,0.9585849828225912,1.0
Gm19708,0.051929355,20.049864,0.9585849828225912,1.0
Il19,0.051929355,20.778456,0.9585849828225912,1.0
Ifng,0.051929355,20.446224,0.9585849828225912,1.0
A230059L01Rik,0.051929355,20.702225,0.9585849828225912,1.0
Gm15945,0.051929355,20.724174,0.9585849828225912,1.0
A830019L24Rik,0.051929355,20.581772,0.9585849828225912,1.0
Wfdc21,0.051929355,20.60911,0.9585849828225912,1.0
Gm28102,0.051929355,20.56585,0.9585849828225912,1.0
Mylk2,0.051929355,21.046816,0.9585849828225912,1.0
Gm44991,0.051929355,20.611988,0.9585849828225912,1.0
Gm42868,0.051929355,20.668774,0.9585849828225912,1.0
Gm9046,0.051929355,20.856361,0.9585849828225912,1.0
4930519G04Rik,0.051929355,20.542274,0.9585849828225912,1.0
Rem1,0.051929355,20.609896,0.9585849828225912,1.0
Gm14243,0.051929355,20.402765,0.9585849828225912,1.0
Gm40770,0.051929355,20.83067,0.9585849828225912,1.0
C330011M18Rik,0.051929355,20.848383,0.9585849828225912,1.0
Gm10366,0.051929355,20.42572,0.9585849828225912,1.0
5430401H09Rik,0.051929355,20.705086,0.9585849828225912,1.0
Rem2,0.051929355,20.858366,0.9585849828225912,1.0
Ccdc166,0.051929355,20.55785,0.9585849828225912,1.0
Gm26916,0.051929355,20.80469,0.9585849828225912,1.0
Bpifb9b,0.051929355,20.871502,0.9585849828225912,1.0
Smpx,0.051929355,20.651222,0.9585849828225912,1.0
Gm33912,0.051929355,20.611727,0.9585849828225912,1.0
Gm34678,0.051929355,20.789927,0.9585849828225912,1.0
Gm16555,0.051929355,20.458437,0.9585849828225912,1.0
Bpifb4,0.051929355,20.673765,0.9585849828225912,1.0
Rgs18,0.051929355,20.564846,0.9585849828225912,1.0
Gm28306,0.051929355,20.463451,0.9585849828225912,1.0
Mroh6,0.051929355,20.23588,0.9585849828225912,1.0
Zim2,0.051929355,20.588669,0.9585849828225912,1.0
Gm17168,0.051929355,20.6886,0.9585849828225912,1.0
Gm34549,0.051929355,20.657768,0.9585849828225912,1.0
Gm27199,0.051929355,20.440168,0.9585849828225912,1.0
A730032A03Rik,0.051929355,20.413857,0.9585849828225912,1.0
Lyg1,0.051929355,20.699087,0.9585849828225912,1.0
Dhrs2,0.051929355,20.77538,0.9585849828225912,1.0
