names,scores,logfoldchanges,pvals,pvals_adj
Atg4c,-1.1971712,-0.44805908,0.2312398398659945,1.0
Nol4l,-1.1974113,-0.71464425,0.23114625976296432,1.0
Cers4,-1.1989762,-0.20985107,0.23053722985963399,1.0
Gna11,-1.1996967,-0.5750153,0.23025717671326518,1.0
Fras1,-1.203292,-0.50186723,0.22886335472469488,1.0
Inpp4a,-1.2037214,-0.3418064,0.22869728849098458,1.0
Osmr,-1.2041363,-1.9107919,0.22853693312123324,1.0
Dcaf6,-1.204864,-0.10533932,0.2282558013928837,1.0
Pik3ip1,-1.205337,-0.21550137,0.22807319791425873,1.0
Gnptab,-1.2064288,-0.36213893,0.22765220251578433,1.0
Mcc,-1.2064433,-0.08106146,0.2276465929876309,1.0
Rab40c,-1.2067709,-0.15052524,0.22752040464617407,1.0
Stard13,-1.2073749,-0.085053794,0.22728778805851668,1.0
Ppp1r13b,-1.2094928,-0.4823445,0.22647356809346475,1.0
C2cd5,-1.2096456,-0.1717362,0.22641489055628994,1.0
Pbx3,-1.2101697,-0.31619892,0.2262137927756741,1.0
BC006965,-1.2111595,-0.30010948,0.22583428922155768,1.0
Qser1,-1.2113341,-0.18505473,0.2257673652098362,1.0
Man2a2,-1.2117053,-0.11879605,0.22562519869497422,1.0
Gng7,-1.2122803,-0.4283408,0.22540510617809828,1.0
Capzb,-1.2124186,-0.26252344,0.2253521954126656,1.0
Cdh12,-1.2134229,-0.08154396,0.2249681623139157,1.0
Spats2,-1.2134957,-0.26616004,0.2249403520059431,1.0
Agfg2,-1.2137359,-0.1493288,0.22484859541489444,1.0
Tmem161b,-1.2138815,-0.1622949,0.22479299837569455,1.0
Ptdss1,-1.214027,-0.44698435,0.2247374111591982,1.0
Acox1,-1.215832,-0.15144941,0.22404894552201815,1.0
Kcnt2,-1.2160575,-0.29231295,0.22396299345390303,1.0
Spidr,-1.2168363,-0.12768021,0.22366650132137378,1.0
Vgll4,-1.2171274,-0.15419875,0.22355573525879002,1.0
Kras,-1.2172803,-0.34877843,0.2234975987847827,1.0
Emc8,-1.2174695,-0.24945588,0.22342563527723736,1.0
Ildr2,-1.2183137,-0.26604074,0.22310476926742817,1.0
Serpini1,-1.2184447,-0.740995,0.22305500928077893,1.0
Rgcc,-1.2185321,-0.15799236,0.22302184036864992,1.0
Cobll1,-1.2193327,-1.3353832,0.22271795646611725,1.0
