,KO_n,KO_s,KO_l,KO_p
418,Meis2,5.8431783,0.30916524,3.647281257403987e-07
419,Nwd1,5.843003,0.34325248,3.647281257403987e-07
420,Rere,5.8418136,0.35324222,3.665326871705916e-07
421,Vps13d,5.8405857,0.34141475,3.684330228025425e-07
422,Nadk,5.839327,0.392923,3.7041326415774583e-07
423,Tsc1,5.8389273,0.39337417,3.7049068103125765e-07
424,Crim1,5.832682,0.4306167,3.835964174534694e-07
425,Kcnq3,5.8324037,0.28508124,3.835964174534694e-07
426,Kdm3a,5.823886,0.43828666,4.0280071126690344e-07
427,Crot,5.821717,0.40413305,4.071800221640416e-07
428,Pdzrn3,5.815908,0.3371458,4.206650110036481e-07
429,Zup1,5.8137074,0.45674753,4.253140430057381e-07
430,Dlg1,5.8121367,0.3385643,4.284003466804561e-07
431,Pdlim5,5.8116646,0.3311522,4.286864631468419e-07
432,Kcmf1,5.8029613,0.34070307,4.4993584814334274e-07
433,Zfp462,5.8028426,0.3251819,4.4993584814334274e-07
434,Rngtt,5.8009543,0.37917084,4.540601039663183e-07
435,Sned1,5.792192,0.3321026,4.773837828127799e-07
436,Megf10,5.790729,0.33225596,4.805352636217765e-07
437,Mapkap1,5.7840486,0.34755284,4.987862583923832e-07
438,Bicra,5.7837515,0.35463846,4.987862583923832e-07
439,Gnb1,5.778435,0.32778418,5.13714147937498e-07
440,Setx,5.7731295,0.36740944,5.290441892174927e-07
441,Xpo7,5.7687054,0.3815565,5.419752710523263e-07
442,Dab1,5.759061,0.29558268,5.726608568963718e-07
443,Usp24,5.748663,0.3582819,6.064612561162576e-07
444,Gna13,5.7397118,0.34524566,6.372705283210228e-07
445,Rab31,5.73957,0.33443764,6.372705283210228e-07
446,Prickle2,5.7331495,0.32004824,6.591331689675917e-07
447,Atp6v0e,5.729469,0.4820229,6.716288758478176e-07
448,Eps15l1,5.7292624,0.3651114,6.716288758478176e-07
449,Hdhd5,5.7268066,0.3703653,6.80014450982693e-07
